,autumn,spring
安阳,2134.233333333333,762.4666666666667
新乡,2357.8333333333335,834.6
三门峡,1644.3,925.9666666666667
卢氏,1876.0,948.9666666666667
孟津,1976.2666666666667,1041.9
栾川,2338.9333333333334,1350.9333333333334
郑州,2165.6666666666665,1064.2666666666667
松山,0.0,0.0
许昌,2439.9333333333334,1280.9666666666667
开封,2396.8,999.4666666666667
西峡,2808.9333333333334,1440.5
南阳,2595.5666666666666,1455.9
宝丰,2648.233333333333,1252.8333333333333
西华,2581.9333333333334,1356.7333333333333
桐柏,3271.366666666667,2194.9
驻马店,2719.233333333333,1849.9
信阳,2809.4666666666667,2445.6666666666665
商丘,2640.9,1255.4
永城,2568.9,1468.8
固始,2674.2,2515.0333333333333
